replicon	feature_type	feat_start	feat_end	strand	feat_length_bp	locus_tag	gene	product	mod_code	mod_label	mod_description	raw_count	norm_count
NC_003197.2	CDS	81019	81616	-	597	EBBPGFGJ_00068	caiE	Carnitine operon protein CaiE	m	5mC	5-methylcytosine	22	0.03685092
NC_003197.2	CDS	81724	82510	-	786	EBBPGFGJ_00069	caiD	Carnitinyl-CoA dehydratase	m	5mC	5-methylcytosine	66	0.08396947
NC_003197.2	CDS	82563	84117	-	1554	EBBPGFGJ_00070	caiC	Crotonobetaine/carnitine--CoA ligase	m	5mC	5-methylcytosine	14	0.00900901
NC_003197.2	CDS	84179	85397	-	1218	EBBPGFGJ_00071	caiB	L-carnitine CoA-transferase	m	5mC	5-methylcytosine	7	0.00574713
NC_003197.2	CDS	85508	86651	-	1143	EBBPGFGJ_00072	caiA_1	Crotonobetainyl-CoA reductase	m	5mC	5-methylcytosine	50	0.04374453
NC_003197.2	CDS	86685	88203	-	1518	EBBPGFGJ_00073	caiT	L-carnitine/gamma-butyrobetaine antiporter	m	5mC	5-methylcytosine	17	0.01119895
NC_003197.2	CDS	88683	89454	+	771	EBBPGFGJ_00074	fixA_1	Protein FixA	m	5mC	5-methylcytosine	13	0.01686122
NC_003197.2	CDS	89469	90411	+	942	EBBPGFGJ_00075	fixB_1	Protein FixB	m	5mC	5-methylcytosine	113	0.11995754
NC_003197.2	CDS	90460	91747	+	1287	EBBPGFGJ_00076	dadA_1	D-amino acid dehydrogenase	m	5mC	5-methylcytosine	43	0.03341103
NC_003197.2	CDS	91743	92031	+	288	EBBPGFGJ_00077	fixX_1	Ferredoxin-like protein FixX	m	5mC	5-methylcytosine	2	0.00694444
NC_003197.2	CDS	92177	93518	+	1341	EBBPGFGJ_00078	ygcS	Inner membrane metabolite transport protein YgcS	m	5mC	5-methylcytosine	13	0.00969426
NC_003197.2	CDS	94130	94547	+	417	EBBPGFGJ_00080		hypothetical protein	m	5mC	5-methylcytosine	3	0.00719424
NC_003197.2	CDS	95958	97848	+	1890	EBBPGFGJ_00082		hypothetical protein	m	5mC	5-methylcytosine	34	0.01798942
NC_003197.2	CDS	98254	98785	+	531	EBBPGFGJ_00083	kefF	Glutathione-regulated potassium-efflux system ancillary protein KefF	m	5mC	5-methylcytosine	20	0.03766478
NC_003197.2	CDS	98777	100640	+	1863	EBBPGFGJ_00084	kefC_1	Glutathione-regulated potassium-efflux system protein KefC	m	5mC	5-methylcytosine	41	0.02200751
NC_003197.2	CDS	100838	101318	+	480	EBBPGFGJ_00085		IS1595 family transposase ISSsu9	m	5mC	5-methylcytosine	12	0.02500000
NC_003197.2	CDS	101423	102272	-	849	EBBPGFGJ_00086	apaH	Bis(5'-nucleosyl)-tetraphosphatase%2C symmetrical	m	5mC	5-methylcytosine	14	0.01648999
NC_003197.2	CDS	102282	102660	-	378	EBBPGFGJ_00087	apaG	Protein ApaG	m	5mC	5-methylcytosine	12	0.03174603
NC_003197.2	CDS	102662	103484	-	822	EBBPGFGJ_00088	rsmA	Ribosomal RNA small subunit methyltransferase A	m	5mC	5-methylcytosine	10	0.01216545
NC_003197.2	CDS	103480	104470	-	990	EBBPGFGJ_00089	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	m	5mC	5-methylcytosine	37	0.03737374
NC_003197.2	CDS	104469	105756	-	1287	EBBPGFGJ_00090	surA	Chaperone SurA	m	5mC	5-methylcytosine	61	0.04739705
NC_003197.2	CDS	105809	108170	-	2361	EBBPGFGJ_00091	lptD	LPS-assembly protein LptD	m	5mC	5-methylcytosine	11	0.00465904
NC_003197.2	CDS	108423	109236	+	813	EBBPGFGJ_00092	djlA	Co-chaperone protein DjlA	m	5mC	5-methylcytosine	6	0.00738007
NC_003197.2	CDS	109330	109990	-	660	EBBPGFGJ_00093	rluA	Dual-specificity RNA pseudouridine synthase RluA	m	5mC	5-methylcytosine	50	0.07575758
NC_003197.2	CDS	110001	112908	-	2907	EBBPGFGJ_00094	rapA	RNA polymerase-associated protein RapA	m	5mC	5-methylcytosine	111	0.03818369
NC_003197.2	CDS	113081	115433	-	2352	EBBPGFGJ_00095	polB	DNA polymerase II	m	5mC	5-methylcytosine	90	0.03826531
NC_003197.2	CDS	115476	116097	-	621	EBBPGFGJ_00096		hypothetical protein	m	5mC	5-methylcytosine	12	0.01932367
NC_003197.2	CDS	116815	117235	+	420	EBBPGFGJ_00097		hypothetical protein	m	5mC	5-methylcytosine	1	0.00238095
NC_003197.2	CDS	117240	117936	-	696	EBBPGFGJ_00098	araD	L-ribulose-5-phosphate 4-epimerase AraD	m	5mC	5-methylcytosine	4	0.00574713
NC_003197.2	CDS	118076	119579	-	1503	EBBPGFGJ_00099	araA	L-arabinose isomerase	m	5mC	5-methylcytosine	13	0.00864937
NC_003197.2	CDS	119589	121299	-	1710	EBBPGFGJ_00100	araB	Ribulokinase	m	5mC	5-methylcytosine	109	0.06374269
NC_003197.2	CDS	121639	122485	+	846	EBBPGFGJ_00101	araC	Arabinose operon regulatory protein	m	5mC	5-methylcytosine	26	0.03073286
NC_003197.2	CDS	122603	123371	+	768	EBBPGFGJ_00102	yabI	Inner membrane protein YabI	m	5mC	5-methylcytosine	11	0.01432292
NC_003197.2	CDS	123409	124117	-	708	EBBPGFGJ_00103	thiQ	Thiamine import ATP-binding protein ThiQ	m	5mC	5-methylcytosine	32	0.04519774
NC_003197.2	CDS	124100	125711	-	1611	EBBPGFGJ_00104		hypothetical protein	m	5mC	5-methylcytosine	96	0.05959032
NC_003197.2	CDS	125686	126670	-	984	EBBPGFGJ_00105	thiB	Thiamine-binding periplasmic protein	m	5mC	5-methylcytosine	20	0.02032520
NC_003197.2	CDS	126847	128506	-	1659	EBBPGFGJ_00106	sgrR_1	HTH-type transcriptional regulator SgrR	m	5mC	5-methylcytosine	45	0.02712477
NC_003197.2	CDS	129056	129662	-	606	EBBPGFGJ_00108	leuD1	3-isopropylmalate dehydratase small subunit 1	m	5mC	5-methylcytosine	12	0.01980198
NC_003197.2	CDS	129672	131073	-	1401	EBBPGFGJ_00109	leuC1	3-isopropylmalate dehydratase large subunit 1	m	5mC	5-methylcytosine	53	0.03783012
NC_003197.2	CDS	131075	132167	-	1092	EBBPGFGJ_00110	leuB	3-isopropylmalate dehydrogenase	m	5mC	5-methylcytosine	40	0.03663004
NC_003197.2	CDS	132166	133738	-	1572	EBBPGFGJ_00111	leuA	2-isopropylmalate synthase	m	5mC	5-methylcytosine	47	0.02989822
NC_003197.2	CDS	134568	135513	+	945	EBBPGFGJ_00112	leuO_2	HTH-type transcriptional regulator LeuO	m	5mC	5-methylcytosine	3	0.00317460
NC_003197.2	CDS	135921	137559	+	1638	EBBPGFGJ_00113	ilvI	Acetolactate synthase isozyme 3 large subunit	m	5mC	5-methylcytosine	32	0.01953602
NC_003197.2	CDS	137558	138053	+	495	EBBPGFGJ_00114	ilvH	Acetolactate synthase isozyme 3 small subunit	m	5mC	5-methylcytosine	31	0.06262626
NC_003197.2	CDS	138336	139341	+	1005	EBBPGFGJ_00115	cra	Catabolite repressor/activator	m	5mC	5-methylcytosine	23	0.02288557
NC_003197.2	CDS	139946	140405	+	459	EBBPGFGJ_00116	mraZ	Transcriptional regulator MraZ	m	5mC	5-methylcytosine	4	0.00871460
NC_003197.2	CDS	140406	141348	+	942	EBBPGFGJ_00117	rsmH	Ribosomal RNA small subunit methyltransferase H	m	5mC	5-methylcytosine	30	0.03184713
NC_003197.2	CDS	141344	141710	+	366	EBBPGFGJ_00118	ftsL	Cell division protein FtsL	m	5mC	5-methylcytosine	14	0.03825137
NC_003197.2	CDS	141725	143492	+	1767	EBBPGFGJ_00119	ftsI_1	Peptidoglycan D%2CD-transpeptidase FtsI	m	5mC	5-methylcytosine	39	0.02207131
NC_003197.2	CDS	143478	144966	+	1488	EBBPGFGJ_00120	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase	m	5mC	5-methylcytosine	75	0.05040323
NC_003197.2	CDS	144962	146321	+	1359	EBBPGFGJ_00121	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	m	5mC	5-methylcytosine	53	0.03899926
NC_003197.2	CDS	146314	147397	+	1083	EBBPGFGJ_00122	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase	m	5mC	5-methylcytosine	6	0.00554017
NC_003197.2	CDS	147399	148716	+	1317	EBBPGFGJ_00123	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	m	5mC	5-methylcytosine	38	0.02885345
NC_003197.2	CDS	148715	149960	+	1245	EBBPGFGJ_00124	ftsW	Probable peptidoglycan glycosyltransferase FtsW	m	5mC	5-methylcytosine	10	0.00803213
NC_003197.2	CDS	149956	151024	+	1068	EBBPGFGJ_00125	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	m	5mC	5-methylcytosine	50	0.04681648
NC_003197.2	CDS	151142	152618	+	1476	EBBPGFGJ_00126	murC	UDP-N-acetylmuramate--L-alanine ligase	m	5mC	5-methylcytosine	75	0.05081301
NC_003197.2	CDS	152610	153531	+	921	EBBPGFGJ_00127	ddlB	D-alanine--D-alanine ligase B	m	5mC	5-methylcytosine	23	0.02497286
NC_003197.2	CDS	153532	154363	+	831	EBBPGFGJ_00128	ftsQ	Cell division protein FtsQ	m	5mC	5-methylcytosine	7	0.00842359
NC_003197.2	CDS	154359	155622	+	1263	EBBPGFGJ_00129	ftsA_1	Cell division protein FtsA	m	5mC	5-methylcytosine	44	0.03483769
NC_003197.2	CDS	155682	156834	+	1152	EBBPGFGJ_00130	ftsZ	Cell division protein FtsZ	m	5mC	5-methylcytosine	88	0.07638889
NC_003197.2	CDS	156934	157852	+	918	EBBPGFGJ_00131	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	m	5mC	5-methylcytosine	4	0.00435730
NC_003197.2	CDS	158129	158627	+	498	EBBPGFGJ_00132	secM	Secretion monitor	m	5mC	5-methylcytosine	22	0.04417671
NC_003197.2	CDS	158688	161394	+	2706	EBBPGFGJ_00133	secA	Protein translocase subunit SecA	m	5mC	5-methylcytosine	67	0.02475979
NC_003197.2	CDS	161545	161941	+	396	EBBPGFGJ_00134	mutT	8-oxo-dGTP diphosphatase	m	5mC	5-methylcytosine	4	0.01010101
NC_003197.2	CDS	162262	162454	-	192	EBBPGFGJ_00135	yacG	DNA gyrase inhibitor YacG	m	5mC	5-methylcytosine	2	0.01041667
NC_003197.2	CDS	162463	163207	-	744	EBBPGFGJ_00136	zapD	Cell division protein ZapD	m	5mC	5-methylcytosine	7	0.00940860
NC_003197.2	CDS	163206	163827	-	621	EBBPGFGJ_00137	coaE	Dephospho-CoA kinase	m	5mC	5-methylcytosine	28	0.04508857
NC_003197.2	CDS	164052	165096	+	1044	EBBPGFGJ_00138	guaC	GMP reductase	m	5mC	5-methylcytosine	20	0.01915709
NC_003197.2	CDS	165126	166329	-	1203	EBBPGFGJ_00139	epsF	Type II secretion system protein F	m	5mC	5-methylcytosine	49	0.04073150
NC_003197.2	CDS	166318	167704	-	1386	EBBPGFGJ_00140	epsE	Type II secretion system protein E	m	5mC	5-methylcytosine	26	0.01875902
NC_003197.2	CDS	167713	168151	-	438	EBBPGFGJ_00141		hypothetical protein	m	5mC	5-methylcytosine	8	0.01826484
NC_003197.2	CDS	168372	169266	-	894	EBBPGFGJ_00142	nadC	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	m	5mC	5-methylcytosine	44	0.04921700
NC_003197.2	CDS	169353	169917	+	564	EBBPGFGJ_00143	ampD	1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	m	5mC	5-methylcytosine	4	0.00709220
NC_003197.2	CDS	169913	170768	+	855	EBBPGFGJ_00144	ampE	Protein AmpE	m	5mC	5-methylcytosine	11	0.01286550
NC_003197.2	CDS	170859	171810	-	951	EBBPGFGJ_00145		Extracellular exo-alpha-(1->5)-L-arabinofuranosidase	m	5mC	5-methylcytosine	11	0.01156677
NC_003197.2	CDS	171809	173216	-	1407	EBBPGFGJ_00146	yicJ_1	Inner membrane symporter YicJ	m	5mC	5-methylcytosine	5	0.00355366
NC_003197.2	CDS	173379	174750	-	1371	EBBPGFGJ_00147	aroP	Aromatic amino acid transport protein AroP	m	5mC	5-methylcytosine	45	0.03282276
NC_003197.2	CDS	175315	176080	+	765	EBBPGFGJ_00148	pdhR_1	Pyruvate dehydrogenase complex repressor	m	5mC	5-methylcytosine	82	0.10718954
NC_003197.2	CDS	176239	178903	+	2664	EBBPGFGJ_00149	aceE	Pyruvate dehydrogenase E1 component	m	5mC	5-methylcytosine	51	0.01914414
NC_003197.2	CDS	178917	180807	+	1890	EBBPGFGJ_00150	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	m	5mC	5-methylcytosine	47	0.02486772
NC_003197.2	CDS	181006	182431	+	1425	EBBPGFGJ_00151	lpdA	Dihydrolipoyl dehydrogenase	m	5mC	5-methylcytosine	44	0.03087719
NC_003197.2	CDS	182719	183004	+	285	EBBPGFGJ_00152		hypothetical protein	m	5mC	5-methylcytosine	6	0.02105263
NC_003197.2	CDS	183041	183833	-	792	EBBPGFGJ_00153		hypothetical protein	m	5mC	5-methylcytosine	18	0.02272727
NC_003197.2	CDS	183845	185468	-	1623	EBBPGFGJ_00154		hypothetical protein	m	5mC	5-methylcytosine	83	0.05113986
NC_003197.2	CDS	185856	188454	+	2598	EBBPGFGJ_00155	acnB	Aconitate hydratase B	m	5mC	5-methylcytosine	119	0.04580446
NC_003197.2	CDS	189602	189965	+	363	EBBPGFGJ_00157	yacL	UPF0231 protein YacL	m	5mC	5-methylcytosine	1	0.00275482
NC_003197.2	CDS	190199	191153	+	954	EBBPGFGJ_00158	kdgT_1	2-keto-3-deoxygluconate permease	m	5mC	5-methylcytosine	25	0.02620545
NC_003197.2	CDS	191149	192421	+	1272	EBBPGFGJ_00159	dtnK	D-threonate kinase	m	5mC	5-methylcytosine	82	0.06446541
NC_003197.2	CDS	192410	193394	+	984	EBBPGFGJ_00160	pdxA2	D-threonate 4-phosphate dehydrogenase	m	5mC	5-methylcytosine	46	0.04674797
NC_003197.2	CDS	193403	194171	+	768	EBBPGFGJ_00161	glcR_1	HTH-type transcriptional repressor GlcR	m	5mC	5-methylcytosine	12	0.01562500
NC_003197.2	CDS	194200	194995	-	795	EBBPGFGJ_00162	speD	S-adenosylmethionine decarboxylase proenzyme	m	5mC	5-methylcytosine	7	0.00880503
NC_003197.2	CDS	195015	195876	-	861	EBBPGFGJ_00163	speE	Polyamine aminopropyltransferase	m	5mC	5-methylcytosine	41	0.04761905
NC_003197.2	CDS	196531	198142	+	1611	EBBPGFGJ_00165	cueO	Blue copper oxidase CueO	m	5mC	5-methylcytosine	26	0.01613904
NC_003197.2	CDS	198219	200610	-	2391	EBBPGFGJ_00166	gcd	Quinoprotein glucose dehydrogenase	m	5mC	5-methylcytosine	76	0.03178586
NC_003197.2	CDS	201409	202072	-	663	EBBPGFGJ_00168	can	Carbonic anhydrase 2	m	5mC	5-methylcytosine	2	0.00301659
NC_003197.2	CDS	202180	203107	+	927	EBBPGFGJ_00169	yadG	Uncharacterized ABC transporter ATP-binding protein YadG	m	5mC	5-methylcytosine	11	0.01186624
NC_003197.2	CDS	203103	203874	+	771	EBBPGFGJ_00170	yadH	Inner membrane transport permease YadH	m	5mC	5-methylcytosine	8	0.01037613
NC_003197.2	CDS	203990	205070	-	1080	EBBPGFGJ_00171	lpfD_1	Probable minor fimbrial subunit LpfD	m	5mC	5-methylcytosine	4	0.00370370
NC_003197.2	CDS	205078	207637	-	2559	EBBPGFGJ_00172	fimD_1	Outer membrane usher protein FimD	m	5mC	5-methylcytosine	176	0.06877687
NC_003197.2	CDS	207651	208335	-	684	EBBPGFGJ_00173	fimC_1	Chaperone protein FimC	m	5mC	5-methylcytosine	2	0.00292398
NC_003197.2	CDS	208382	208922	-	540	EBBPGFGJ_00174	fimA_1	Type-1 fimbrial protein%2C A chain	m	5mC	5-methylcytosine	2	0.00370370
NC_003197.2	CDS	209292	209733	+	441	EBBPGFGJ_00175		hypothetical protein	m	5mC	5-methylcytosine	5	0.01133787
NC_003197.2	CDS	209794	211024	+	1230	EBBPGFGJ_00176		hypothetical protein	m	5mC	5-methylcytosine	14	0.01138211
NC_003197.2	CDS	211030	211411	-	381	EBBPGFGJ_00177	panD	Aspartate 1-decarboxylase	m	5mC	5-methylcytosine	10	0.02624672
NC_003197.2	CDS	211505	212360	-	855	EBBPGFGJ_00178	panC	Pantothenate synthetase	m	5mC	5-methylcytosine	28	0.03274854
NC_003197.2	CDS	212485	213277	-	792	EBBPGFGJ_00179	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	m	5mC	5-methylcytosine	52	0.06565657
NC_003197.2	CDS	213397	213877	-	480	EBBPGFGJ_00180	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	m	5mC	5-methylcytosine	56	0.11666667
NC_003197.2	CDS	213873	215292	-	1419	EBBPGFGJ_00181	pcnB	Poly(A) polymerase I	m	5mC	5-methylcytosine	47	0.03312192
NC_003197.2	CDS	215432	216374	-	942	EBBPGFGJ_00182	gluQ	Glutamyl-Q tRNA(Asp) synthetase	m	5mC	5-methylcytosine	34	0.03609342
NC_003197.2	CDS	216397	216853	-	456	EBBPGFGJ_00183	dksA	RNA polymerase-binding transcription factor DksA	m	5mC	5-methylcytosine	7	0.01535088
NC_003197.2	CDS	217029	217734	-	705	EBBPGFGJ_00184	sfsA	Sugar fermentation stimulation protein A	m	5mC	5-methylcytosine	3	0.00425532
NC_003197.2	CDS	217750	218281	-	531	EBBPGFGJ_00185	thpR	RNA 2'%2C3'-cyclic phosphodiesterase	m	5mC	5-methylcytosine	57	0.10734463
