replicon	feature_type	feat_start	feat_end	strand	feat_length_bp	locus_tag	gene	product	mod_code	mod_label	mod_description	raw_count	norm_count
NC_003197.2	CDS	53854	56689	+	2835	EBBPGFGJ_00045	ileS	Isoleucine--tRNA ligase	m4C	m4C	4-methylcytosine	13	0.00458554
NC_003197.2	CDS	56688	57189	+	501	EBBPGFGJ_00046	lspA	Lipoprotein signal peptidase	m4C	m4C	4-methylcytosine	1	0.00199601
NC_003197.2	CDS	57343	57793	+	450	EBBPGFGJ_00047	fkpB	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase	m4C	m4C	4-methylcytosine	2	0.00444444
NC_003197.2	CDS	57795	58746	+	951	EBBPGFGJ_00048	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	m4C	m4C	4-methylcytosine	3	0.00315457
NC_003197.2	CDS	60163	61084	+	921	EBBPGFGJ_00050	rihC	Non-specific ribonucleoside hydrolase RihC	m4C	m4C	4-methylcytosine	1	0.00108578
NC_003197.2	CDS	61793	63452	-	1659	EBBPGFGJ_00052	citA	Sensor histidine kinase CitA	m4C	m4C	4-methylcytosine	1	0.00060277
NC_003197.2	CDS	63547	64849	-	1302	EBBPGFGJ_00053	oadB_1	Oxaloacetate decarboxylase beta chain	m4C	m4C	4-methylcytosine	42	0.03225806
NC_003197.2	CDS	64861	66637	-	1776	EBBPGFGJ_00054	oadA_1	Oxaloacetate decarboxylase alpha chain	m4C	m4C	4-methylcytosine	16	0.00900901
NC_003197.2	CDS	68711	69680	+	969	EBBPGFGJ_00057	citC_1	[Citrate [pro-3S]-lyase] ligase	m4C	m4C	4-methylcytosine	3	0.00309598
NC_003197.2	CDS	69709	70003	+	294	EBBPGFGJ_00058	citD_1	Citrate lyase acyl carrier protein	m4C	m4C	4-methylcytosine	1	0.00340136
NC_003197.2	CDS	69999	70869	+	870	EBBPGFGJ_00059	citE_1	Citrate lyase subunit beta	m4C	m4C	4-methylcytosine	1	0.00114943
NC_003197.2	CDS	70879	72400	+	1521	EBBPGFGJ_00060	citF_1	Citrate lyase alpha chain	m4C	m4C	4-methylcytosine	2	0.00131492
NC_003197.2	CDS	74016	74838	+	822	EBBPGFGJ_00063	dapB	4-hydroxy-tetrahydrodipicolinate reductase	m4C	m4C	4-methylcytosine	2	0.00243309
NC_003197.2	CDS	75879	77028	+	1149	EBBPGFGJ_00065	carA	Carbamoyl-phosphate synthase small chain	m4C	m4C	4-methylcytosine	2	0.00174064
NC_003197.2	CDS	77046	80274	+	3228	EBBPGFGJ_00066	carB	Carbamoyl-phosphate synthase large chain	m4C	m4C	4-methylcytosine	11	0.00340768
NC_003197.2	CDS	81019	81616	-	597	EBBPGFGJ_00068	caiE	Carnitine operon protein CaiE	m4C	m4C	4-methylcytosine	1	0.00167504
NC_003197.2	CDS	81724	82510	-	786	EBBPGFGJ_00069	caiD	Carnitinyl-CoA dehydratase	m4C	m4C	4-methylcytosine	5	0.00636132
NC_003197.2	CDS	82563	84117	-	1554	EBBPGFGJ_00070	caiC	Crotonobetaine/carnitine--CoA ligase	m4C	m4C	4-methylcytosine	1	0.00064350
NC_003197.2	CDS	84179	85397	-	1218	EBBPGFGJ_00071	caiB	L-carnitine CoA-transferase	m4C	m4C	4-methylcytosine	1	0.00082102
NC_003197.2	CDS	85508	86651	-	1143	EBBPGFGJ_00072	caiA_1	Crotonobetainyl-CoA reductase	m4C	m4C	4-methylcytosine	8	0.00699913
NC_003197.2	CDS	86685	88203	-	1518	EBBPGFGJ_00073	caiT	L-carnitine/gamma-butyrobetaine antiporter	m4C	m4C	4-methylcytosine	2	0.00131752
NC_003197.2	CDS	89469	90411	+	942	EBBPGFGJ_00075	fixB_1	Protein FixB	m4C	m4C	4-methylcytosine	26	0.02760085
NC_003197.2	CDS	90460	91747	+	1287	EBBPGFGJ_00076	dadA_1	D-amino acid dehydrogenase	m4C	m4C	4-methylcytosine	3	0.00233100
NC_003197.2	CDS	92177	93518	+	1341	EBBPGFGJ_00078	ygcS	Inner membrane metabolite transport protein YgcS	m4C	m4C	4-methylcytosine	1	0.00074571
NC_003197.2	CDS	94770	95061	-	291	EBBPGFGJ_00081		hypothetical protein	m4C	m4C	4-methylcytosine	1	0.00343643
NC_003197.2	CDS	95958	97848	+	1890	EBBPGFGJ_00082		hypothetical protein	m4C	m4C	4-methylcytosine	3	0.00158730
NC_003197.2	CDS	98254	98785	+	531	EBBPGFGJ_00083	kefF	Glutathione-regulated potassium-efflux system ancillary protein KefF	m4C	m4C	4-methylcytosine	3	0.00564972
NC_003197.2	CDS	98777	100640	+	1863	EBBPGFGJ_00084	kefC_1	Glutathione-regulated potassium-efflux system protein KefC	m4C	m4C	4-methylcytosine	4	0.00214707
NC_003197.2	CDS	101423	102272	-	849	EBBPGFGJ_00086	apaH	Bis(5'-nucleosyl)-tetraphosphatase%2C symmetrical	m4C	m4C	4-methylcytosine	2	0.00235571
NC_003197.2	CDS	102282	102660	-	378	EBBPGFGJ_00087	apaG	Protein ApaG	m4C	m4C	4-methylcytosine	1	0.00264550
NC_003197.2	CDS	103480	104470	-	990	EBBPGFGJ_00089	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	m4C	m4C	4-methylcytosine	8	0.00808081
NC_003197.2	CDS	104469	105756	-	1287	EBBPGFGJ_00090	surA	Chaperone SurA	m4C	m4C	4-methylcytosine	6	0.00466200
NC_003197.2	CDS	105809	108170	-	2361	EBBPGFGJ_00091	lptD	LPS-assembly protein LptD	m4C	m4C	4-methylcytosine	1	0.00042355
NC_003197.2	CDS	109330	109990	-	660	EBBPGFGJ_00093	rluA	Dual-specificity RNA pseudouridine synthase RluA	m4C	m4C	4-methylcytosine	4	0.00606061
NC_003197.2	CDS	110001	112908	-	2907	EBBPGFGJ_00094	rapA	RNA polymerase-associated protein RapA	m4C	m4C	4-methylcytosine	11	0.00378397
NC_003197.2	CDS	113081	115433	-	2352	EBBPGFGJ_00095	polB	DNA polymerase II	m4C	m4C	4-methylcytosine	5	0.00212585
NC_003197.2	CDS	115476	116097	-	621	EBBPGFGJ_00096		hypothetical protein	m4C	m4C	4-methylcytosine	2	0.00322061
NC_003197.2	CDS	116815	117235	+	420	EBBPGFGJ_00097		hypothetical protein	m4C	m4C	4-methylcytosine	1	0.00238095
NC_003197.2	CDS	117240	117936	-	696	EBBPGFGJ_00098	araD	L-ribulose-5-phosphate 4-epimerase AraD	m4C	m4C	4-methylcytosine	1	0.00143678
NC_003197.2	CDS	119589	121299	-	1710	EBBPGFGJ_00100	araB	Ribulokinase	m4C	m4C	4-methylcytosine	8	0.00467836
NC_003197.2	CDS	121639	122485	+	846	EBBPGFGJ_00101	araC	Arabinose operon regulatory protein	m4C	m4C	4-methylcytosine	4	0.00472813
NC_003197.2	CDS	122603	123371	+	768	EBBPGFGJ_00102	yabI	Inner membrane protein YabI	m4C	m4C	4-methylcytosine	1	0.00130208
NC_003197.2	CDS	123409	124117	-	708	EBBPGFGJ_00103	thiQ	Thiamine import ATP-binding protein ThiQ	m4C	m4C	4-methylcytosine	4	0.00564972
NC_003197.2	CDS	124100	125711	-	1611	EBBPGFGJ_00104		hypothetical protein	m4C	m4C	4-methylcytosine	5	0.00310366
NC_003197.2	CDS	125686	126670	-	984	EBBPGFGJ_00105	thiB	Thiamine-binding periplasmic protein	m4C	m4C	4-methylcytosine	4	0.00406504
NC_003197.2	CDS	126847	128506	-	1659	EBBPGFGJ_00106	sgrR_1	HTH-type transcriptional regulator SgrR	m4C	m4C	4-methylcytosine	6	0.00361664
NC_003197.2	CDS	129056	129662	-	606	EBBPGFGJ_00108	leuD1	3-isopropylmalate dehydratase small subunit 1	m4C	m4C	4-methylcytosine	1	0.00165017
NC_003197.2	CDS	129672	131073	-	1401	EBBPGFGJ_00109	leuC1	3-isopropylmalate dehydratase large subunit 1	m4C	m4C	4-methylcytosine	3	0.00214133
NC_003197.2	CDS	131075	132167	-	1092	EBBPGFGJ_00110	leuB	3-isopropylmalate dehydrogenase	m4C	m4C	4-methylcytosine	4	0.00366300
NC_003197.2	CDS	132166	133738	-	1572	EBBPGFGJ_00111	leuA	2-isopropylmalate synthase	m4C	m4C	4-methylcytosine	3	0.00190840
NC_003197.2	CDS	135921	137559	+	1638	EBBPGFGJ_00113	ilvI	Acetolactate synthase isozyme 3 large subunit	m4C	m4C	4-methylcytosine	4	0.00244200
NC_003197.2	CDS	137558	138053	+	495	EBBPGFGJ_00114	ilvH	Acetolactate synthase isozyme 3 small subunit	m4C	m4C	4-methylcytosine	5	0.01010101
NC_003197.2	CDS	140406	141348	+	942	EBBPGFGJ_00117	rsmH	Ribosomal RNA small subunit methyltransferase H	m4C	m4C	4-methylcytosine	6	0.00636943
NC_003197.2	CDS	141725	143492	+	1767	EBBPGFGJ_00119	ftsI_1	Peptidoglycan D%2CD-transpeptidase FtsI	m4C	m4C	4-methylcytosine	6	0.00339559
NC_003197.2	CDS	143478	144966	+	1488	EBBPGFGJ_00120	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase	m4C	m4C	4-methylcytosine	3	0.00201613
NC_003197.2	CDS	144962	146321	+	1359	EBBPGFGJ_00121	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	m4C	m4C	4-methylcytosine	5	0.00367918
NC_003197.2	CDS	147399	148716	+	1317	EBBPGFGJ_00123	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	m4C	m4C	4-methylcytosine	3	0.00227790
NC_003197.2	CDS	149956	151024	+	1068	EBBPGFGJ_00125	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	m4C	m4C	4-methylcytosine	2	0.00187266
NC_003197.2	CDS	151142	152618	+	1476	EBBPGFGJ_00126	murC	UDP-N-acetylmuramate--L-alanine ligase	m4C	m4C	4-methylcytosine	1	0.00067751
NC_003197.2	CDS	154359	155622	+	1263	EBBPGFGJ_00129	ftsA_1	Cell division protein FtsA	m4C	m4C	4-methylcytosine	1	0.00079177
NC_003197.2	CDS	155682	156834	+	1152	EBBPGFGJ_00130	ftsZ	Cell division protein FtsZ	m4C	m4C	4-methylcytosine	7	0.00607639
NC_003197.2	CDS	156934	157852	+	918	EBBPGFGJ_00131	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	m4C	m4C	4-methylcytosine	1	0.00108932
NC_003197.2	CDS	158688	161394	+	2706	EBBPGFGJ_00133	secA	Protein translocase subunit SecA	m4C	m4C	4-methylcytosine	2	0.00073910
NC_003197.2	CDS	161545	161941	+	396	EBBPGFGJ_00134	mutT	8-oxo-dGTP diphosphatase	m4C	m4C	4-methylcytosine	2	0.00505051
NC_003197.2	CDS	164052	165096	+	1044	EBBPGFGJ_00138	guaC	GMP reductase	m4C	m4C	4-methylcytosine	1	0.00095785
NC_003197.2	CDS	165126	166329	-	1203	EBBPGFGJ_00139	epsF	Type II secretion system protein F	m4C	m4C	4-methylcytosine	6	0.00498753
NC_003197.2	CDS	166318	167704	-	1386	EBBPGFGJ_00140	epsE	Type II secretion system protein E	m4C	m4C	4-methylcytosine	1	0.00072150
NC_003197.2	CDS	168372	169266	-	894	EBBPGFGJ_00142	nadC	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	m4C	m4C	4-methylcytosine	8	0.00894855
NC_003197.2	CDS	169913	170768	+	855	EBBPGFGJ_00144	ampE	Protein AmpE	m4C	m4C	4-methylcytosine	2	0.00233918
NC_003197.2	CDS	170859	171810	-	951	EBBPGFGJ_00145		Extracellular exo-alpha-(1->5)-L-arabinofuranosidase	m4C	m4C	4-methylcytosine	3	0.00315457
NC_003197.2	CDS	173379	174750	-	1371	EBBPGFGJ_00147	aroP	Aromatic amino acid transport protein AroP	m4C	m4C	4-methylcytosine	7	0.00510576
NC_003197.2	CDS	175315	176080	+	765	EBBPGFGJ_00148	pdhR_1	Pyruvate dehydrogenase complex repressor	m4C	m4C	4-methylcytosine	12	0.01568627
NC_003197.2	CDS	176239	178903	+	2664	EBBPGFGJ_00149	aceE	Pyruvate dehydrogenase E1 component	m4C	m4C	4-methylcytosine	5	0.00187688
NC_003197.2	CDS	178917	180807	+	1890	EBBPGFGJ_00150	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	m4C	m4C	4-methylcytosine	2	0.00105820
NC_003197.2	CDS	181006	182431	+	1425	EBBPGFGJ_00151	lpdA	Dihydrolipoyl dehydrogenase	m4C	m4C	4-methylcytosine	3	0.00210526
NC_003197.2	CDS	182719	183004	+	285	EBBPGFGJ_00152		hypothetical protein	m4C	m4C	4-methylcytosine	1	0.00350877
NC_003197.2	CDS	183845	185468	-	1623	EBBPGFGJ_00154		hypothetical protein	m4C	m4C	4-methylcytosine	18	0.01109057
NC_003197.2	CDS	185856	188454	+	2598	EBBPGFGJ_00155	acnB	Aconitate hydratase B	m4C	m4C	4-methylcytosine	13	0.00500385
NC_003197.2	CDS	188514	189357	-	843	EBBPGFGJ_00156		hypothetical protein	m4C	m4C	4-methylcytosine	1	0.00118624
NC_003197.2	CDS	190199	191153	+	954	EBBPGFGJ_00158	kdgT_1	2-keto-3-deoxygluconate permease	m4C	m4C	4-methylcytosine	2	0.00209644
NC_003197.2	CDS	191149	192421	+	1272	EBBPGFGJ_00159	dtnK	D-threonate kinase	m4C	m4C	4-methylcytosine	10	0.00786164
NC_003197.2	CDS	192410	193394	+	984	EBBPGFGJ_00160	pdxA2	D-threonate 4-phosphate dehydrogenase	m4C	m4C	4-methylcytosine	1	0.00101626
NC_003197.2	CDS	194200	194995	-	795	EBBPGFGJ_00162	speD	S-adenosylmethionine decarboxylase proenzyme	m4C	m4C	4-methylcytosine	3	0.00377358
NC_003197.2	CDS	195015	195876	-	861	EBBPGFGJ_00163	speE	Polyamine aminopropyltransferase	m4C	m4C	4-methylcytosine	2	0.00232288
NC_003197.2	CDS	196531	198142	+	1611	EBBPGFGJ_00165	cueO	Blue copper oxidase CueO	m4C	m4C	4-methylcytosine	2	0.00124146
NC_003197.2	CDS	198219	200610	-	2391	EBBPGFGJ_00166	gcd	Quinoprotein glucose dehydrogenase	m4C	m4C	4-methylcytosine	3	0.00125471
NC_003197.2	CDS	201409	202072	-	663	EBBPGFGJ_00168	can	Carbonic anhydrase 2	m4C	m4C	4-methylcytosine	1	0.00150830
NC_003197.2	CDS	202180	203107	+	927	EBBPGFGJ_00169	yadG	Uncharacterized ABC transporter ATP-binding protein YadG	m4C	m4C	4-methylcytosine	1	0.00107875
NC_003197.2	CDS	203103	203874	+	771	EBBPGFGJ_00170	yadH	Inner membrane transport permease YadH	m4C	m4C	4-methylcytosine	1	0.00129702
NC_003197.2	CDS	205078	207637	-	2559	EBBPGFGJ_00172	fimD_1	Outer membrane usher protein FimD	m4C	m4C	4-methylcytosine	31	0.01211411
NC_003197.2	CDS	211030	211411	-	381	EBBPGFGJ_00177	panD	Aspartate 1-decarboxylase	m4C	m4C	4-methylcytosine	1	0.00262467
NC_003197.2	CDS	212485	213277	-	792	EBBPGFGJ_00179	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	m4C	m4C	4-methylcytosine	3	0.00378788
NC_003197.2	CDS	213397	213877	-	480	EBBPGFGJ_00180	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	m4C	m4C	4-methylcytosine	1	0.00208333
NC_003197.2	CDS	213873	215292	-	1419	EBBPGFGJ_00181	pcnB	Poly(A) polymerase I	m4C	m4C	4-methylcytosine	2	0.00140944
NC_003197.2	CDS	215432	216374	-	942	EBBPGFGJ_00182	gluQ	Glutamyl-Q tRNA(Asp) synthetase	m4C	m4C	4-methylcytosine	1	0.00106157
NC_003197.2	CDS	216397	216853	-	456	EBBPGFGJ_00183	dksA	RNA polymerase-binding transcription factor DksA	m4C	m4C	4-methylcytosine	1	0.00219298
NC_003197.2	CDS	217029	217734	-	705	EBBPGFGJ_00184	sfsA	Sugar fermentation stimulation protein A	m4C	m4C	4-methylcytosine	1	0.00141844
NC_003197.2	CDS	217750	218281	-	531	EBBPGFGJ_00185	thpR	RNA 2'%2C3'-cyclic phosphodiesterase	m4C	m4C	4-methylcytosine	3	0.00564972
NC_003197.2	CDS	218308	220783	+	2475	EBBPGFGJ_00186	hrpB	ATP-dependent RNA helicase HrpB	m4C	m4C	4-methylcytosine	8	0.00323232
NC_003197.2	CDS	220923	223446	+	2523	EBBPGFGJ_00187	mrcB	Penicillin-binding protein 1B	m4C	m4C	4-methylcytosine	9	0.00356718
NC_003197.2	CDS	223738	225928	+	2190	EBBPGFGJ_00188	fhuA_1	Ferrichrome outer membrane transporter/phage receptor	m4C	m4C	4-methylcytosine	1	0.00045662
NC_003197.2	CDS	225976	226774	+	798	EBBPGFGJ_00189	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	m4C	m4C	4-methylcytosine	6	0.00751880
NC_003197.2	CDS	226773	227664	+	891	EBBPGFGJ_00190	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	m4C	m4C	4-methylcytosine	2	0.00224467
NC_003197.2	CDS	227660	229718	+	2058	EBBPGFGJ_00191	fhuB	Iron(3+)-hydroxamate import system permease protein FhuB	m4C	m4C	4-methylcytosine	11	0.00534500
NC_003197.2	CDS	231303	233961	+	2658	EBBPGFGJ_00194	papC_1	Outer membrane usher protein PapC	m4C	m4C	4-methylcytosine	4	0.00150489
NC_003197.2	CDS	233978	234731	+	753	EBBPGFGJ_00195	yfcS	Probable fimbrial chaperone YfcS	m4C	m4C	4-methylcytosine	1	0.00132802
NC_003197.2	CDS	234749	235262	+	513	EBBPGFGJ_00196	yfcR	Uncharacterized fimbrial-like protein YfcR	m4C	m4C	4-methylcytosine	3	0.00584795
NC_003197.2	CDS	235258	235735	+	477	EBBPGFGJ_00197	yfcQ	Uncharacterized fimbrial-like protein YfcQ	m4C	m4C	4-methylcytosine	1	0.00209644
NC_003197.2	CDS	235734	236265	+	531	EBBPGFGJ_00198	yfcP	Uncharacterized fimbrial-like protein YfcP	m4C	m4C	4-methylcytosine	1	0.00188324
NC_003197.2	CDS	237211	238492	-	1281	EBBPGFGJ_00200	hemL	Glutamate-1-semialdehyde 2%2C1-aminomutase	m4C	m4C	4-methylcytosine	30	0.02341920
NC_003197.2	CDS	238661	240083	+	1422	EBBPGFGJ_00201	clcA	H(+)/Cl(-) exchange transporter ClcA	m4C	m4C	4-methylcytosine	3	0.00210970
NC_003197.2	CDS	240609	241233	-	624	EBBPGFGJ_00203	yadS	UPF0126 inner membrane protein YadS	m4C	m4C	4-methylcytosine	4	0.00641026
NC_003197.2	CDS	241269	242070	-	801	EBBPGFGJ_00204	btuF	Vitamin B12-binding protein	m4C	m4C	4-methylcytosine	3	0.00374532
NC_003197.2	CDS	242062	242761	-	699	EBBPGFGJ_00205	mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	m4C	m4C	4-methylcytosine	6	0.00858369
NC_003197.2	CDS	242845	244363	+	1518	EBBPGFGJ_00206	dgt	Deoxyguanosinetriphosphate triphosphohydrolase	m4C	m4C	4-methylcytosine	3	0.00197628
NC_003197.2	CDS	244492	245920	+	1428	EBBPGFGJ_00207	degP	Periplasmic serine endoprotease DegP	m4C	m4C	4-methylcytosine	9	0.00630252
NC_003197.2	CDS	247951	249253	+	1302	EBBPGFGJ_00210	abaF	Fosfomycin resistance protein AbaF	m4C	m4C	4-methylcytosine	1	0.00076805
NC_003197.2	CDS	249289	250114	-	825	EBBPGFGJ_00211	dapD	2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase	m4C	m4C	4-methylcytosine	5	0.00606061
NC_003197.2	CDS	250143	252816	-	2673	EBBPGFGJ_00212	glnD	Bifunctional uridylyltransferase/uridylyl-removing enzyme	m4C	m4C	4-methylcytosine	23	0.00860456
NC_003197.2	CDS	253052	253847	-	795	EBBPGFGJ_00213	map	Methionine aminopeptidase	m4C	m4C	4-methylcytosine	1	0.00125786
NC_003197.2	CDS	254297	255023	+	726	EBBPGFGJ_00214	rpsB	30S ribosomal protein S2	m4C	m4C	4-methylcytosine	2	0.00275482
NC_003197.2	CDS	255208	256132	+	924	EBBPGFGJ_00215	tsf	Elongation factor Ts	m4C	m4C	4-methylcytosine	8	0.00865801
NC_003197.2	CDS	256276	257002	+	726	EBBPGFGJ_00216	pyrH	Uridylate kinase	m4C	m4C	4-methylcytosine	1	0.00137741
NC_003197.2	CDS	257846	259043	+	1197	EBBPGFGJ_00218	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	m4C	m4C	4-methylcytosine	6	0.00501253
NC_003197.2	CDS	260995	262348	+	1353	EBBPGFGJ_00221	rseP	Regulator of sigma-E protease RseP	m4C	m4C	4-methylcytosine	3	0.00221729
NC_003197.2	CDS	262379	264794	+	2415	EBBPGFGJ_00222	bamA	Outer membrane protein assembly factor BamA	m4C	m4C	4-methylcytosine	2	0.00082816
NC_003197.2	CDS	266536	266992	+	456	EBBPGFGJ_00225	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	m4C	m4C	4-methylcytosine	1	0.00219298
NC_003197.2	CDS	266995	267784	+	789	EBBPGFGJ_00226	lpxA	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	m4C	m4C	4-methylcytosine	3	0.00380228
NC_003197.2	CDS	267783	268932	+	1149	EBBPGFGJ_00227	lpxB	Lipid-A-disaccharide synthase	m4C	m4C	4-methylcytosine	2	0.00174064
NC_003197.2	CDS	269548	273031	+	3483	EBBPGFGJ_00229	dnaE	DNA polymerase III subunit alpha	m4C	m4C	4-methylcytosine	5	0.00143554
NC_003197.2	CDS	274183	275947	+	1764	EBBPGFGJ_00231		hypothetical protein	m4C	m4C	4-methylcytosine	3	0.00170068
NC_003197.2	CDS	276022	278164	+	2142	EBBPGFGJ_00232	ldcC	Constitutive lysine decarboxylase	m4C	m4C	4-methylcytosine	6	0.00280112
NC_003197.2	CDS	278671	279964	+	1293	EBBPGFGJ_00234	tilS	tRNA(Ile)-lysidine synthase	m4C	m4C	4-methylcytosine	11	0.00850735
NC_003197.2	CDS	280294	280495	-	201	EBBPGFGJ_00236	yaeP	UPF0253 protein YaeP	m4C	m4C	4-methylcytosine	1	0.00497512
NC_003197.2	CDS	282467	284186	-	1719	EBBPGFGJ_00240	proS	Proline--tRNA ligase	m4C	m4C	4-methylcytosine	6	0.00349040
